run,plane,paddle,type,histogram,hist_path,found,fit_ok,fit_status,entries,peak,peak_uncertainty,sigma,sigma_uncertainty,amplitude,amplitude_uncertainty,chi2,ndf,fit_low,fit_high,message,two_peaks_found,two_peak_fit_ok,seed_method,pedestal_peak,pedestal_peak_uncertainty,pedestal_sigma,pedestal_sigma_uncertainty,pedestal_amplitude,pedestal_amplitude_uncertainty,pedestal_chi2,pedestal_ndf,pedestal_fit_low,pedestal_fit_high,pedestal_fit_status,signal_peak,signal_peak_uncertainty,signal_sigma,signal_sigma_uncertainty,signal_amplitude,signal_amplitude_uncertainty,signal_chi2,signal_ndf,signal_fit_low,signal_fit_high,signal_fit_status,peak_separation,peak_separation_uncertainty,two_peak_message
35566,BHC,11,TDC,tdc_coinc_left_BHC11-RF,BHC/Paddle11/TDC/tdc_coinc_left_BHC11-RF,1,1,0,74163,-404.43,0.03,3.79,0.02,1242.70,9.48,898.13,54,-416.76,-388.74,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,12,TDC,tdc_coinc_left_BHC12-RF,BHC/Paddle12/TDC/tdc_coinc_left_BHC12-RF,1,1,0,13895,-406.68,0.06,4.01,0.04,216.12,3.94,171.91,54,-420.90,-391.60,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,13,TDC,tdc_coinc_left_BHC13-RF,BHC/Paddle13/TDC/tdc_coinc_left_BHC13-RF,1,1,0,4179,-406.57,0.11,3.65,0.08,67.47,2.37,54.58,37,-416.94,-396.56,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,14,TDC,tdc_coinc_left_BHC14-RF,BHC/Paddle14/TDC/tdc_coinc_left_BHC14-RF,1,1,0,3053,-408.35,0.14,3.88,0.10,46.09,1.89,58.54,38,-421.13,-394.37,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,15,TDC,tdc_coinc_left_BHC15-RF,BHC/Paddle15/TDC/tdc_coinc_left_BHC15-RF,1,1,0,2147,-406.65,0.59,4.87,0.94,18.07,1.48,26.08,18,-412.85,-402.65,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHD,00,QDC,qdc_hit_BHD00down,BHD/Paddle00/QDC/qdc_hit_BHD00down,1,1,0,5454,147.90,0.50,23.65,0.46,46.54,1.18,109.77,102,97.27,201.73,ok,1,1,automatic broad-peak search,148.59,1.23,26.03,2.67,47.01,1.56,45.90,43,125.50,171.13,0,638.25,10.19,56.03,70.90,5.68,0.59,20.11,33,620.50,656,0,489.66,10.26,ok
35566,BHD,01,QDC,qdc_hit_BHD01down,BHD/Paddle01/QDC/qdc_hit_BHD01down,1,1,0,8419,143.15,0.51,27.04,0.54,62.42,1.34,90.21,98,93.54,195.46,ok,1,0,automatic broad-peak search,141.25,1.47,26.28,4.43,64.61,2.07,37.49,32,123.69,158.50,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,pedestal: ok (refined symmetric core); signal: could not construct symmetric core window
35566,BHD,02,QDC,qdc_hit_BHD02down,BHD/Paddle02/QDC/qdc_hit_BHD02down,1,1,0,13710,157.77,0.35,25.41,0.34,107.86,1.76,180.43,104,105,212,ok,1,1,automatic broad-peak search,157.50,0.77,27.01,5.72,112.05,2.98,44.77,26,143.50,171.50,0,271.24,2.46,10.98,9.02,10.56,1.33,2.14,10,266.50,278.50,0,113.74,2.57,ok
35566,BHD,03,QDC,qdc_hit_BHD03down,BHD/Paddle03/QDC/qdc_hit_BHD03down,1,1,0,38371,165.89,0.28,35.43,0.28,218.67,2.16,312.33,154,86.52,244.48,ok,1,1,automatic broad-peak search,166.49,0.51,30.99,0.98,235.12,3.02,76.54,59,135.50,196.99,0,828.49,3.78,125,9.53,34.65,0.65,164.85,188,730.78,921.50,0,662,3.81,ok
35566,BHD,04,QDC,qdc_hit_BHD04down,BHD/Paddle04/QDC/qdc_hit_BHD04down,1,1,0,103430,132.57,0.20,41.59,0.19,483.73,2.93,758.49,198,36.86,238.14,ok,1,1,automatic broad-peak search,136.56,0.45,36.01,1,523.97,4.47,63.27,59,105.50,166.91,0,670.69,1.76,129,3.95,125.05,1.16,219.19,217,561.45,780.50,0,534.13,1.81,ok
35566,BHD,05,QDC,qdc_hit_BHD05down,BHD/Paddle05/QDC/qdc_hit_BHD05down,1,1,0,188055,0,1.17,1055.85,87.45,141.46,1.06,55116.58,519,0,522.28,ok,1,1,automatic broad-peak search,130.29,0.38,41.59,0.82,763.30,4.95,68.31,71,93.50,167.02,0,545.50,8.03,121.17,8.85,275.82,2.27,98.32,120,484.50,606.50,0,415.21,8.03,ok
35566,BHD,06,QDC,qdc_hit_BHD06down,BHD/Paddle06/QDC/qdc_hit_BHD06down,1,1,0,243608,139.15,0.21,63.69,0.23,639.22,2.92,30218,519,0,522.28,ok,1,1,automatic broad-peak search,145.59,0.49,54.35,1.13,704.87,4.28,73.69,88,100.43,190.50,0,633.58,1.46,139.37,4.04,333.29,2,196.89,191,537.50,730.59,0,487.99,1.54,ok
35566,BHD,07,QDC,qdc_hit_BHD07down,BHD/Paddle07/QDC/qdc_hit_BHD07down,1,1,0,219045,150.60,0.18,55.63,0.19,688.21,3.20,32095.05,519,0,522.28,ok,1,1,automatic broad-peak search,156.75,0.41,43.48,0.92,784.24,5.01,84.84,71,119.50,193.35,0,598.77,1.11,123.13,2.59,325.37,1.94,182.29,200,498.50,700.51,0,442.01,1.19,ok
35566,BHD,08,QDC,qdc_hit_BHD08down,BHD/Paddle08/QDC/qdc_hit_BHD08down,1,1,0,121143,118.82,0.20,47.19,0.21,500.57,2.95,16318.70,519,0,522.28,ok,1,1,automatic broad-peak search,124.14,0.44,36.05,0.99,573.22,4.71,58.32,58,93.50,154.46,0,643.01,1.89,145.40,4.51,141.17,1.19,224.50,231,525.50,759.37,0,518.87,1.94,ok
35566,BHD,09,QDC,qdc_hit_BHD09down,BHD/Paddle09/QDC/qdc_hit_BHD09down,1,1,0,40969,136.24,0.26,34.96,0.25,237.95,2.25,325.04,162,53.70,219.30,ok,1,1,automatic broad-peak search,137.40,0.74,31.47,1.95,256.23,3.61,41.85,43,115.09,160.50,0,729.50,1.45,116,14,41.22,0.82,116.19,140,658.50,800.50,0,592.10,1.63,ok
35566,BHD,10,QDC,qdc_hit_BHD10down,BHD/Paddle10/QDC/qdc_hit_BHD10down,1,1,0,13016,132.32,0.39,27.50,0.35,100.91,1.60,110.40,116,64.63,184.37,ok,1,1,automatic broad-peak search,129.93,0.75,25.39,1.52,103.33,2.27,36.87,45,106.13,153.50,0,307.43,18.54,104.97,51.64,16.74,0.66,88.16,85,264.69,352.50,0,177.50,18.56,ok
35566,BHD,11,QDC,qdc_hit_BHD11down,BHD/Paddle11/QDC/qdc_hit_BHD11down,1,1,0,7463,144.82,0.59,22.36,0.84,64.15,1.65,66.52,58,112.93,174.07,ok,1,1,automatic broad-peak search,145.56,0.84,19.88,1.73,67.15,2.08,44.66,34,126.98,163.50,0,392.50,11.27,107.41,145.73,6.86,0.44,62.08,65,367.65,435.50,0,246.94,11.30,ok
